"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\include\arena.hh", "C++", 2, 0, 1, 3
"c:\Users\jghig\cxxprojects\licanc\include\ast.hh", "C++", 17, 10, 6, 33
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hh", "C++", 51, 9, 22, 82
"c:\Users\jghig\cxxprojects\licanc\include\util.hh", "C++", 12, 1, 3, 16
"c:\Users\jghig\cxxprojects\licanc\src\ast.cc", "C++", -9, 0, 0, -9
"c:\Users\jghig\cxxprojects\licanc\src\parse.cc", "C++", 23, 8, 4, 35
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cc", "C++", 247, 88, 105, 440
"Total", "-", 343, 116, 141, 600
