"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\src\licanapi.cc", "C++", -7, 7, 0, 0
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cc", "C++", 14, 0, 4, 18
"Total", "-", 7, 7, 4, 18
