"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\include\arena.hh", "C++", 39, 3, 10, 52
"c:\Users\jghig\cxxprojects\licanc\include\ast.hh", "C++", 38, -4, 10, 44
"c:\Users\jghig\cxxprojects\licanc\include\core.hh", "C++", 22, 1, 8, 31
"c:\Users\jghig\cxxprojects\licanc\include\parse.hh", "C++", 102, 15, 26, 143
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hh", "C++", 72, 3, 23, 98
"c:\Users\jghig\cxxprojects\licanc\include\token.hh", "C++", 9, 0, 0, 9
"c:\Users\jghig\cxxprojects\licanc\src\ast.cc", "C++", 70, -3, 30, 97
"c:\Users\jghig\cxxprojects\licanc\src\lex.cc", "C++", 13, 0, 4, 17
"c:\Users\jghig\cxxprojects\licanc\src\licanapi.cc", "C++", 3, 0, 0, 3
"c:\Users\jghig\cxxprojects\licanc\src\main.cc", "C++", -6, -5, -4, -15
"c:\Users\jghig\cxxprojects\licanc\src\parse.cc", "C++", 140, 1, 45, 186
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cc", "C++", 130, 32, 47, 209
"Total", "-", 632, 43, 199, 874
