"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\include\ast.hh", "C++", 0, -1, 0, -1
"c:\Users\jghig\cxxprojects\licanc\include\core.hh", "C++", 1, 0, 0, 1
"c:\Users\jghig\cxxprojects\licanc\src\licanapi.cc", "C++", 7, 0, 1, 8
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cc", "C++", 23, 5, 4, 32
"c:\Users\jghig\cxxprojects\licanc\src\symbol.cc", "C++", 34, 2, 9, 45
"Total", "-", 65, 6, 14, 85
