"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\include\semantic.hh", "C++", 12, 1, 4, 17
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hh", "C++", 1, -1, 0, 0
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cc", "C++", -3, -4, -2, -9
"Total", "-", 10, -4, 2, 8
